,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
367,mount isa,-20.7333,139.5,102.2,22,40,11.5,AU,1612330323
368,soverato,38.685,16.5499,46.99,100,20,3.44,IT,1612330557
369,porto novo,17.0197,-25.0647,68.0,77,40,24.16,CV,1612330558
370,baculin,7.4525,126.5842,84.22,66,95,11.92,PH,1612330558
371,coahuayana,18.7333,-103.6833,70.18,73,13,2.13,MX,1612330281
372,smithers,54.7804,-127.1743,23.0,74,90,3.44,CA,1612330227
373,antibes,43.5624,7.1278,50.0,81,40,6.91,FR,1612330559
374,chunskiy,56.0815,99.6342,17.73,95,100,10.49,RU,1612330559
375,bihoro,43.8228,144.1044,12.99,67,75,10.36,JP,1612330559
376,pampa,35.5362,-100.9599,42.8,61,1,10.36,US,1612330560
377,bukama,-9.2,25.85,73.26,88,95,1.83,CD,1612330561
378,vartej,21.7333,72.0667,81.59,21,0,10.2,IN,1612330561
379,niscemi,37.1486,14.3913,46.0,93,0,6.91,IT,1612330561
380,bogotol,56.2078,89.5342,20.37,95,100,12.48,RU,1612330561
381,cockburn town,24.0333,-74.5167,67.93,58,0,18.54,BS,1612330405
382,zalesovo,53.9939,84.7431,22.86,94,100,16.64,RU,1612330562
383,clarence town,23.1,-74.9833,69.06,56,4,15.75,BS,1612330562
384,bam,29.106,58.357,59.59,29,0,2.64,IR,1612330424
385,dhidhdhoo,6.8833,73.1,81.48,68,100,3.91,MV,1612330563
386,bobon,12.5246,124.5636,81.48,80,85,13.18,PH,1612330563
387,tura,64.2833,100.25,-21.57,84,100,1.97,RU,1612330285
388,olinda,-8.0089,-34.8553,78.8,69,40,8.05,BR,1612330243
389,itoman,26.1247,127.6694,71.6,48,40,11.5,JP,1612330564
390,asekeyevo,53.5742,52.7972,16.14,95,48,7.2,RU,1612330564
391,blackfoot,43.1905,-112.345,46.4,46,75,13.8,US,1612330565
392,lucapa,-8.4192,20.7447,67.51,97,100,1.68,AO,1612330275
393,nhulunbuy,-12.2333,136.7667,84.2,74,75,8.05,AU,1612330323
394,tam ky,15.5667,108.4833,78.8,61,20,10.36,VN,1612330565
395,riyadh,24.6877,46.7219,55.4,50,0,4.61,SA,1612330283
396,katherine,-14.4667,132.2667,96.8,41,40,6.91,AU,1612330566
397,rawson,-43.3002,-65.1023,72.16,35,0,13.76,AR,1612330566
398,bubaque,11.2833,-15.8333,77.25,67,32,7.16,GW,1612330041
399,radomsko,51.0671,19.4448,37.0,94,100,13.73,PL,1612330567
400,pingliang,35.5392,106.6861,42.01,73,80,1.99,CN,1612330567
401,bumba,2.1833,22.4667,77.31,64,28,2.44,CD,1612330567
402,nelson bay,-32.7167,152.15,75.0,56,20,11.5,AU,1612330432
403,champasak,14.75,106.0,84.2,42,0,2.3,LA,1612330568
404,kinablangan,7.6947,126.5503,82.9,71,100,9.44,PH,1612330568
405,geraldton,-28.7667,114.6,84.2,61,40,24.16,AU,1612330073
406,fare,-16.7,-151.0167,81.63,75,0,13.67,PF,1612330568
407,coquimbo,-29.9533,-71.3436,57.2,82,0,4.61,CL,1612330569
408,hualmay,-11.0964,-77.6139,69.21,78,84,6.15,PE,1612330057
409,omsukchan,62.5333,155.8,-23.64,84,100,6.98,RU,1612330569
410,ust-koksa,50.2696,85.6108,25.12,91,88,2.21,RU,1612330570
411,nemuro,43.3236,145.575,15.8,53,75,8.05,JP,1612330570
412,zabol,31.0287,61.5012,53.6,43,0,28.77,IR,1612330570
413,hirara,24.8,125.2833,69.8,52,20,12.66,JP,1612330570
414,rio grande,-32.035,-52.0986,71.01,98,86,5.59,BR,1612330299
415,miri,4.4148,114.0089,80.6,94,40,11.5,MY,1612330571
416,warrington,30.3841,-87.275,45.0,75,1,4.61,US,1612330571
417,harper,4.375,-7.7169,77.5,89,22,5.5,LR,1612330309
418,ponnani,10.767,75.9252,84.2,54,20,2.3,IN,1612330526
419,weinan,34.5036,109.5089,57.2,11,0,13.42,CN,1612330572
420,las palmas,28.4204,-14.0131,62.6,82,90,5.75,ES,1612330493
421,alugan,12.2188,125.4808,82.62,72,97,14.88,PH,1612330572
422,hay river,60.8156,-115.7999,-13.0,77,100,8.05,CA,1612330027
423,redding,40.5865,-122.3917,43.0,87,1,3.44,US,1612330557
424,sal,32.5694,35.9119,48.2,66,75,8.21,JO,1612330573
425,aklavik,68.2191,-135.0107,-36.4,74,100,5.61,CA,1612330264
426,praia da vitoria,38.7333,-27.0667,54.0,82,75,29.33,PT,1612330407
427,manta,-0.95,-80.7333,77.0,88,90,3.44,EC,1612330574
428,price,39.5994,-110.8107,28.4,80,1,6.91,US,1612330574
429,coatepec harinas,18.8949,-99.7215,41.0,24,1,4.09,MX,1612330574
430,ponta delgada,37.7333,-25.6667,53.6,76,40,18.41,PT,1612330288
431,saint-louis,-21.2667,55.4167,87.8,58,20,3.44,RE,1612330575
432,along,28.1667,94.7667,77.49,27,0,1.79,IN,1612330575
433,paita,-5.0892,-81.1144,73.22,75,8,10.69,PE,1612330272
434,pierre,44.3683,-100.351,30.0,93,90,6.91,US,1612330575
435,pangody,65.85,74.4859,3.04,95,79,2.42,RU,1612330576
436,merke,42.8728,73.1786,39.96,71,40,3.09,KZ,1612330576
437,half moon bay,37.4636,-122.4286,50.0,81,1,3.44,US,1612330576
438,preili,56.2944,26.7246,26.6,98,100,7.7,LV,1612330576
439,talnakh,69.4865,88.3972,-15.02,86,96,0.94,RU,1612330032
440,panjab,34.388,67.0233,20.1,87,14,3.83,AF,1612330577
441,poya,-21.35,165.15,73.78,88,100,21.56,NC,1612330577
